Spanish Name,English Translation,Dutch Translation,Description,Dutch Description,Price Range,Pork,Other Meat,Fish/Seafood,Dairy,Vegetarian,Google Search
Mousse de Chocolate,Chocolate Mousse,Chocolademousse,Rich chocolate dessert,"Chocolademousse, luchtig dessert",€5-7,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=mousse%20chocolate&tbm=isch
Mozzarella,Mozzarella,Mozzarella,Fresh mozzarella with tomato and basil,"Mozzarella kaas, vaak met tomaat",€7-9,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=mozzarella%20tomate&tbm=isch
Nachos,Nachos,Nachos,Tortilla chips with cheese and toppings,Mexicaanse tortillachips met kaas en dips,€6-8,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=nachos&tbm=isch
Natillas,Custard,Vla,Spanish vanilla custard dessert,Vanillevla als dessert,€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=natillas%20spanish&tbm=isch
Navajas,Razor Clams,Messen,Grilled razor clams with garlic and parsley,"Messen, langwerpige schelpdieren",€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=navajas%20mariscos&tbm=isch
Ñoquis,Gnocchi,Gnocchi,Potato dumplings with various sauces,"Gnocchi, aardappelknoedels met saus",€8-11,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=noquis&tbm=isch
Nuggets de Pollo,Chicken Nuggets,Kip Nuggets,Breaded and fried chicken pieces,Kip nuggets voor kinderen,€6-8,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=nuggets%20pollo&tbm=isch
Onion Rings,Onion Rings,Uienringen,Battered and fried onion rings,Gefrituurde uienringen,€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=onion%20rings&tbm=isch
Oreja a la Plancha,Grilled Pig Ear,Gegrilde Varkensoor,"Grilled pig ear, traditional tapa","Gegrilde varkensoor, traditioneel gerecht",€6-8,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=oreja%20plancha&tbm=isch
Ostras,Oysters,Oesters,Fresh oysters served raw or grilled,"Oesters, vaak rauw met citroen",€15-25,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=ostras&tbm=isch
Oxtail,Oxtail,Ossenstaart,Slow-braised oxtail in red wine,"Ossenstaart, langzaam gestoofd tot mals",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=rabo%20toro&tbm=isch
Pad Thai,Pad Thai,Pad Thai,Thai stir-fried noodles,Thaise noedelschotel met garnalen,€9-12,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pad%20thai&tbm=isch
Paella de Mariscos,Seafood Paella,Zeevruchten Paella,Rice with mixed seafood and saffron,Paella met zeevruchten zoals garnalen en mosselen,€16-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=paella%20mariscos&tbm=isch
Paella Mixta,Mixed Paella,Gemengde Paella,"Rice with chicken, seafood, and vegetables",Gemengde paella met vlees en zeevruchten,€16-20,FALSE,TRUE,TRUE,FALSE,FALSE,https://www.google.com/search?q=paella%20mixta&tbm=isch
Paella Valenciana,Valencian Paella,Valenciaanse Paella,"Traditional rice dish with chicken, rabbit, and beans","Originele paella met kip, konijn en bonen",€15-20,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=paella%20valenciana&tbm=isch
Pan con Tomate,Bread with Tomato,Brood met Tomaat,Toasted bread rubbed with tomato and olive oil,"Toast met tomaat, knoflook en olijfolie",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pan%20con%20tomate&tbm=isch
Pasta Bolognesa,Bolognese Pasta,Pasta Bolognese,Pasta with meat sauce,Pasta met vlees-tomatensaus,€9-12,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=pasta%20bolognesa&tbm=isch
Patatas Alioli,Potatoes with Alioli,Aardappels met Alioli,Boiled potatoes served with garlic mayonnaise,Gebakken aardappels met knoflookmayonaise,€5-7,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=patatas%20alioli&tbm=isch
Patatas Asadas,Roasted Potatoes,Geroosterde Aardappels,Roasted potatoes with herbs,Geroosterde aardappels met kruiden,€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=patatas%20asadas&tbm=isch
Pato,Duck,Eend,Roasted duck with orange sauce,"Eend, vaak geconfijt of geroosterd",€16-20,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=pato%20naranja&tbm=isch
Percebes,Gooseneck Barnacles,Zeepokken,Expensive Galician delicacy,"Zeepokken, bijzondere schaaldieren uit Galicië",€25-40,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=percebes&tbm=isch
Pescaíto Frito,Fried Fish,Gefrituurde Vis,Mixed small fried fish from Andalusia,Kleine gefrituurde visjes uit Andalusië,€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=pescaito%20frito&tbm=isch
Pimientos de Padrón,Padrón Peppers,Padrón Pepers,"Small green peppers, some spicy, some mild","Kleine groene pepers, meestal mild",€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pimientos%20padron&tbm=isch
Pimientos Rellenos,Stuffed Peppers,Gevulde Paprika's,Peppers stuffed with meat or rice,Paprika's gevuld met vlees of rijst,€8-10,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=pimientos%20rellenos&tbm=isch
Pinchos Morunos,Moorish Skewers,Moorse Spiesjes,Spiced pork skewers,Gekruide vlesspiesjes in Moorse stijl,€7-9,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=pinchos%20morunos&tbm=isch
Pizza Margarita,Margherita Pizza,Margherita Pizza,"Pizza with tomato, mozzarella, and basil","Pizza met tomaat, mozzarella en basilicum",€8-12,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=pizza%20margarita&tbm=isch
Pizza Pepperoni,Pepperoni Pizza,Pepperoni Pizza,Pizza with pepperoni and cheese,Pizza met pepperoni worst,€9-13,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=pizza%20pepperoni&tbm=isch
Plato Combinado,Mixed Plate,Gemengd Bord,"Combination plate with meat, eggs, and fries","Gemengd bord met vlees, ei en friet",€9-13,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=plato%20combinado&tbm=isch
Pollo al Ajillo,Garlic Chicken,Knoflook Kip,Chicken pieces sautéed with garlic,Kip gebakken in knoflookolie,€9-12,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=pollo%20ajillo&tbm=isch
Pollo Asado,Roast Chicken,Gebraden Kip,Roasted chicken with herbs,Geroosterde kip met kruiden,€10-14,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=pollo%20asado&tbm=isch
Polpo a la Gallega,Galician Octopus,Galicische Octopus,Boiled octopus with paprika and olive oil,Galicische octopus met paprikapoeder,€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=pulpo%20gallega&tbm=isch
Pulpo a Feira,Fair-style Octopus,Markt-stijl Octopus,Galician-style octopus with paprika,Octopus zoals geserveerd op marktpleinen,€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=pulpo%20feira&tbm=isch
Quesadilla,Quesadilla,Quesadilla,"Flour tortilla with cheese, sometimes with meat",Mexicaanse tortilla met kaas,€6-9,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=quesadilla&tbm=isch
Queso de Cabra,Goat Cheese,Geitenkaas,"Spanish goat cheese, often grilled","Geitenkaas, vaak warm geserveerd",€7-10,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=queso%20cabra&tbm=isch
Queso Frito,Fried Cheese,Gefrituurde Kaas,Breaded and fried cheese,"Gefrituurde kaas, populair op Canarische Eilanden",€6-8,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=queso%20frito&tbm=isch
Quinoa Salad,Quinoa Salad,Quinoa Salade,Healthy quinoa salad with vegetables,Quinoa salade met groenten,€8-11,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=ensalada%20quinoa&tbm=isch
Rabo de Toro,Oxtail Stew,Ossenstaart Stoofpot,Slow-cooked oxtail in red wine sauce,"Ossenstaart stoofpot, traditioneel gerecht",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=rabo%20toro&tbm=isch
Rape,Monkfish,Zeeduivel,Grilled or sautéed monkfish,"Zeeduivel, vis met stevige textuur",€14-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=rape%20pescado&tbm=isch
Raya,Skate,Rog,Grilled skate wing with capers,"Rog, platvis vaak gegrild",€12-15,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=raya%20pescado&tbm=isch
Revuelto de Setas,Scrambled Eggs with Mushrooms,Roerei met Paddestoelen,Scrambled eggs with wild mushrooms,Roerei met wilde paddenstoelen,€7-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=revuelto%20setas&tbm=isch
Ribs,Ribs,Spareribs,BBQ pork ribs,Spareribs met barbecuesaus,€12-16,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=costillas%20bbq&tbm=isch
Risotto,Risotto,Risotto,Italian rice dish with various ingredients,Italiaanse risotto met verschillende vullingen,€10-14,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=risotto&tbm=isch
Rodaballo,Turbot,Tarbot,Grilled turbot fish,"Tarbot, dure platvis vaak heel bereid",€16-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=rodaballo&tbm=isch
Rosada,Red Scorpionfish,Rode Schorpioenvis,"Mediterranean fish, grilled or fried",Rode schorpioenvis,€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=rosada%20pescado&tbm=isch
Salchichón,Spanish Salami,Spaanse Salami,Cured Spanish sausage,Spaanse salami met peper,€8-10,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=salchichon&tbm=isch
Salmón a la Plancha,Grilled Salmon,Gegrilde Zalm,Grilled salmon fillet,Gegrilde zalm met kruiden,€14-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=salmon%20plancha&tbm=isch
Salmonetes,Red Mullet,Mul,"Small Mediterranean fish, usually fried","Roodbaars, kleine vis met intense smaak",€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=salmonetes&tbm=isch
Salmorejo,Salmorejo,Salmorejo,Cold tomato soup thicker than gazpacho,Dikke koude soep uit Córdoba met ham,€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=salmorejo&tbm=isch
Sandwich Mixto,Mixed Sandwich,Gemengde Sandwich,Grilled sandwich with ham and cheese,Tosti met ham en kaas,€4-6,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=sandwich%20mixto&tbm=isch
Sangría,Sangria,Sangria,Wine-based cocktail with fruit,"Wijn punch met fruit, zomerdrankje",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=sangria&tbm=isch
Sardinas,Sardines,Sardines,Grilled fresh sardines,"Sardines, vaak gegrild of ingelegd",€8-10,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=sardinas%20plancha&tbm=isch
Secreto Ibérico,Iberian Secret,Iberisch Geheim,Premium cut from Iberian pork shoulder,Speciaal stuk vlees van Iberisch varken,€16-20,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=secreto%20iberico&tbm=isch
Sepia,Cuttlefish,Zeekat,Grilled or fried cuttlefish,"Zeekat, vaak gegrild of gefrituurrd",€10-13,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=sepia%20plancha&tbm=isch
Solomillo,Tenderloin,Ossenhaas,Beef or pork tenderloin,"Ossenhaas, malste stuk vlees",€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=solomillo&tbm=isch
Sopa de Ajo,Garlic Soup,Knoflooksoep,Traditional garlic soup with bread and egg,Knoflooksoep met brood en ei,€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=sopa%20ajo&tbm=isch
Sopa de Mariscos,Seafood Soup,Zeevruchten Soep,Rich seafood soup,Zeevruchtensoep met verschillende schaaldieren,€8-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=sopa%20mariscos&tbm=isch
Spaghetti Aglio e Olio,Spaghetti with Garlic and Oil,Spaghetti met Knoflook en Olie,Simple pasta with garlic and olive oil,Spaghetti met knoflook en olijfolie,€7-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=spaghetti%20aglio%20olio&tbm=isch
Spaghetti Tartufo,Truffle Spaghetti,Truffel Spaghetti,Pasta with truffle and cheese,Spaghetti met truffel,€15-20,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=spaghetti%20tartufo&tbm=isch
Sushi,Sushi,Sushi,Japanese raw fish with rice,Japanse sushi met rauwe vis,€12-20,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=sushi&tbm=isch
Tacos,Tacos,Tacos,Soft tortillas with various fillings,Mexicaanse taco's met verschillende vullingen,€6-9,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=tacos&tbm=isch
Tartar de Atún,Tuna Tartar,Tonijn Tartaar,Raw diced tuna with seasonings,Rauwe tonijntartaar met kruiden,€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=tartar%20atun&tbm=isch
Tempura,Tempura,Tempura,Japanese battered and fried vegetables or seafood,Japanse gefrituurde groenten of garnalen,€10-14,FALSE,FALSE,TRUE,FALSE,TRUE,https://www.google.com/search?q=tempura&tbm=isch
Ternera,Veal,Kalfsvlees,Grilled or roasted veal,"Kalfsvlees, jong en mals rundvlees",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=ternera%20asada&tbm=isch
Tiramisu,Tiramisu,Tiramisu,Italian coffee-flavored dessert,Italiaans dessert met mascarpone en koffie,€5-7,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=tiramisu&tbm=isch
Torrijas,Spanish French Toast,Spaanse Wentelteefjes,Fried bread soaked in milk and eggs,Spaanse wentelteefjes met kaneel,€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=torrijas&tbm=isch
Tortilla Española,Spanish Omelette,Spaanse Omelet,Thick omelette with potatoes,Spaanse omelet met aardappels en ui,€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=tortilla%20espanola&tbm=isch
Tortilla Francesa,French Omelette,Franse Omelet,Simple plain omelette,Gewone omelet zonder vulling,€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=tortilla%20francesa&tbm=isch
Tostada,Toast,Toast,Toasted bread with various toppings,Toast met verschillende toppings,€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=tostada%20spanish&tbm=isch
Trucha,Trout,Forel,Grilled or fried river trout,"Forel, zoetwater vis vaak gegrild",€10-13,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=trucha%20pescado&tbm=isch
Urta,Red Sea Bream,Rode Zeebrasem,Grilled red sea bream from Cádiz,Rode zeebrasem uit Andalusië,€14-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=urta%20pescado&tbm=isch
Vieiras,Scallops,Jakobsschelpen,Grilled scallops with garlic,"Jakobsschelpen, vaak gratineerd",€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=vieiras&tbm=isch
Vitello Tonnato,Veal with Tuna Sauce,Kalfsvlees met Tonijnsaus,Cold veal with tuna mayonnaise,Kalfsvlees met tonijnsaus,€12-15,FALSE,TRUE,TRUE,FALSE,FALSE,https://www.google.com/search?q=vitello%20tonnato&tbm=isch
Wok de Verduras,Vegetable Wok,Groenten Wok,Stir-fried vegetables,Groenten roerbak in Aziatische stijl,€7-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=wok%20verduras&tbm=isch
Yogurt,Yogurt,Yoghurt,Plain or flavored yogurt,Yoghurt met fruit of honing,€3-4,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=yogurt&tbm=isch
Zamburiñas,Baby Scallops,Baby Jakobsschelpen,Small scallops grilled with garlic,"Baby jakobsschelpen, vaak gratineerd",€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=zamburinas&tbm=isch
Zanahoria,Carrots,Worteltjes,Glazed or roasted carrots,Worteltjes als bijgerecht,€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=zanahorias%20glaseadas&tbm=isch
Zarzuela,Seafood Stew,Zeevruchten Stoofpot,Rich seafood stew from Catalonia,Zeevruchten stoofpot uit Catalonië,€16-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=zarzuela%20mariscos&tbm=isch
Zumo,Juice,Sap,Fresh fruit juices,Vers geperst vruchtensap,€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=zumo%20natural&tbm=isch
